Timestamp,PV(W),SOC(%),Battery(W),Meter(W),Load(W),MPP1(A),MPP2(A),MPP1(V),MPP2(V),IT1(°C),AVG,Difference
2024-03-01 00:00:00,0.0,5.0,-2372.2,-3530.0,1157.8,0.0,0.0,0.0,0.0,23.61666666666667,0.0,0.0
2024-03-01 01:00:00,0.0,5.0,-2331.3,-3021.0,733.7,0.0,0.0,0.0,0.0,23.600000000000005,0.0,0.0
2024-03-01 02:00:00,0.0,5.0,-2044.5,-3096.0,1051.5,0.0,0.0,0.0,0.0,23.600000000000005,0.0,0.0
2024-03-01 03:00:00,0.0,5.0,-2208.06,-3617.0,1419.39,0.0,0.0,0.0,0.0,23.600000000000005,0.0,0.0
2024-03-01 04:00:00,0.0,4.5,-2085.27,-2834.0,806.0799999999999,0.0,0.0,0.0,0.0,23.600000000000005,0.0,0.0
2024-03-01 05:00:00,0.0,4.0,-2125.76,-5832.0,3706.24,0.0,0.0,0.0,0.0,23.600000000000005,0.0,0.0
2024-03-01 06:00:00,0.0,4.0,-2043.82,-6468.0,4424.18,0.0,0.0,114.91666666666669,109.75833333333333,23.625,0.0,0.0
2024-03-01 07:00:00,699.4,4.0,-2002.63,-2909.0,1605.77,0.1416666666666666,0.1416666666666666,216.89166666666665,178.775,24.33333333333333,1187.6511764705883,488.25117647058835
2024-03-01 08:00:00,2691.25,4.0,-2207.99,-2959.0,3446.76,0.5333333333333333,0.5416666666666666,222.04166666666663,196.625,25.59166666666667,2548.82,-142.42999999999984
2024-03-01 09:00:00,6054.1,4.0,-3001.24,-6634.0,9686.86,0.9666666666666668,0.9916666666666668,309.1166666666667,199.15,26.78333333333333,3614.7423529411763,-2439.357647058824
2024-03-01 10:00:00,11764.9,6.333333333333333,-7699.1,-3678.0,7743.8,1.2833333333333334,1.325,453.7833333333333,288.9583333333333,28.075,3942.921764705882,-7821.978235294117
2024-03-01 11:00:00,18889.74,14.25,-17323.01,166.0,1400.73,1.9083333333333328,1.85,454.4,382.025,29.766666666666666,4098.632352941177,-14791.107647058825
2024-03-01 12:00:00,26818.31,29.75,-24820.27,227.0,1771.04,2.6750000000000003,2.6750000000000003,454.2083333333333,381.2916666666667,32.358333333333334,2836.424705882353,-23981.88529411765
2024-03-01 13:00:00,22314.09,45.75,-20602.73,285.0,1426.36,2.2583333333333333,2.216666666666667,449.9583333333333,380.525,32.45,3549.7870588235296,-18764.30294117647
2024-03-01 14:00:00,16466.62,44.0,53424.93,-15014.0,84905.55,1.8,1.6833333333333331,442.575,326.05833333333334,40.30833333333333,2749.113529411765,-13717.506470588234
2024-03-01 15:00:00,5362.07,5.25,4440.650000000001,-133385.0,143187.72,0.925,0.8166666666666668,298.1,198.61666666666667,37.56666666666667,1812.4252941176474,-3549.6447058823524
2024-03-01 16:00:00,3001.24,5.0,-2497.95,-128110.0,128613.29,0.625,0.5499999999999999,221.11666666666667,200.29166666666663,29.475,451.1494117647058,-2550.090588235294
2024-03-01 17:00:00,845.56,5.0,-2210.93,-77886.0,76520.63,0.1583333333333333,0.1666666666666666,226.28333333333333,190.01666666666665,26.816666666666663,0.0,-845.56
2024-03-01 18:00:00,0.0,5.0,-2333.48,-4593.0,2259.52,0.0,0.0,93.75833333333333,77.39999999999999,24.866666666666664,0.0,0.0
2024-03-01 19:00:00,0.0,5.0,-2455.75,-7098.0,4642.25,0.0,0.0,0.0,0.0,24.166666666666668,0.0,0.0
2024-03-01 20:00:00,0.0,5.0,-2455.15,-4044.0,1588.85,0.0,0.0,0.0,0.0,23.9,0.0,0.0
2024-03-01 21:00:00,0.0,4.583333333333333,-2454.55,-4467.0,2012.45,0.0,0.0,0.0,0.0,23.816666666666663,0.0,0.0
2024-03-01 22:00:00,0.0,4.0,-2331.26,-4693.0,2361.74,0.0,0.0,0.0,0.0,23.766666666666666,0.0,0.0
2024-03-01 23:00:00,0.0,4.0,-2453.25,-4463.0,2009.75,0.0,0.0,0.0,0.0,23.7,0.0,0.0
2024-03-02 00:00:00,0.0,4.0,-2329.9700000000003,-4783.0,2453.03,0.0,0.0,0.0,0.0,23.7,0.0,0.0
2024-03-02 01:00:00,0.0,4.0,-2370.13,-2734.0,372.17,0.0,0.0,0.0,0.0,23.7,0.0,0.0
2024-03-02 02:00:00,0.0,4.0,-2410.34,-2831.0,439.26,0.0,0.0,0.0,0.0,23.7,0.0,0.0
2024-03-02 03:00:00,0.0,4.0,-2450.45,-3167.0,776.4,0.0,0.0,0.0,0.0,23.7,0.0,0.0
2024-03-02 04:00:00,0.0,4.0,-2408.77,-3050.0,641.23,0.0,0.0,0.0,0.0,23.691666666666663,0.0,0.0
2024-03-02 05:00:00,0.0,3.083333333333333,-2448.9,-2747.0,370.55,0.0,0.0,0.0,0.0,23.65,0.0,0.0
2024-03-02 06:00:00,0.0,3.0,-2244.09,-3266.0,1050.91,0.0,0.0,140.625,124.48333333333332,23.73333333333333,0.018823529411764708,0.018823529411764708
2024-03-02 07:00:00,3043.29,3.083333333333333,-3363.25,-822.0,619.18,0.4833333333333333,0.6,229.75833333333333,209.0666666666667,25.075,1227.4411764705885,-1815.8488235294114
2024-03-02 08:00:00,15726.76,9.583333333333334,-13931.57,-2242.0,4182.070000000001,1.2666666666666666,1.9083333333333328,439.69166666666666,393.85833333333335,28.141666666666666,2389.087647058823,-13337.672352941177
2024-03-02 09:00:00,16787.64,23.25,-15392.19,316.0,1080.22,1.7833333333333332,1.8,432.0333333333333,338.9583333333333,30.191666666666663,3101.439411764706,-13686.200588235293
2024-03-02 10:00:00,18307.45,32.25,-17370.8,275.0,753.36,1.9416666666666669,1.866666666666667,436.4666666666666,359.01666666666665,30.475,3905.8429411764705,-14401.60705882353
